house_code,pen_code,category_code,report_date,opening_head,in_head,out_head,internal_out_head,sold_head,dead_head,excel_closing,owner_transfer_head,weaned_out_head,recurred_head,aborted_head,infertile_head,entry_date,birth_date_avg,entry_weight,sex_mix,note
BUNMAN1,1-1,FARROW_WAIT,2026-08-06,5,0,0,3,0,0,2,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-1,LACT_SOW,2026-08-06,7,3,0,0,0,0,10,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-1,SUCK,2026-08-06,99,37,0,0,0,1,135,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-10,LACT_SOW,2026-08-06,9,0,6,0,0,0,3,0,0,0,0,0,,,,,
BUNMAN1,1-10,SUCK,2026-08-06,117,0,77,0,0,1,39,0,77,0,0,0,,,,,
BUNMAN1,1-11,FARROW_WAIT,2026-08-06,12,0,0,0,0,1,11,0,0,0,0,0,2026-08-02,,,,
BUNMAN1,1-2,FARROW_WAIT,2026-08-06,8,0,0,5,0,0,3,0,0,0,0,0,,,,,
BUNMAN1,1-2,LACT_SOW,2026-08-06,4,5,0,0,0,0,9,0,0,0,0,0,,,,,
BUNMAN1,1-2,SUCK,2026-08-06,31,60,0,0,0,0,91,0,0,0,0,0,,,,,
BUNMAN1,1-3,FARROW_WAIT,2026-08-06,12,0,0,6,0,0,6,0,0,0,0,0,,,,,
BUNMAN1,1-3,LACT_SOW,2026-08-06,0,6,0,0,0,0,6,0,0,0,0,0,,,,,
BUNMAN1,1-3,SUCK,2026-08-06,0,63,0,0,0,0,63,0,0,0,0,0,,,,,
BUNMAN1,1-4,FARROW_WAIT,2026-08-06,11,0,0,3,0,0,8,0,0,0,0,0,,,,,
BUNMAN1,1-4,LACT_SOW,2026-08-06,1,3,0,0,0,0,4,0,0,0,0,0,,,,,
BUNMAN1,1-4,SUCK,2026-08-06,11,33,0,0,0,1,43,0,0,0,0,0,,,,,
BUNMAN1,1-5,FARROW_WAIT,2026-08-06,6,0,0,1,0,0,5,0,0,0,0,0,,,,,
BUNMAN1,1-5,LACT_SOW,2026-08-06,0,1,0,0,0,0,1,0,0,0,0,0,,,,,
BUNMAN1,1-5,SUCK,2026-08-06,0,12,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN1,1-6,LACT_SOW,2026-08-06,12,0,12,0,0,0,0,0,0,0,0,0,2026-07-09,,,,
BUNMAN1,1-6,SUCK,2026-08-06,157,0,157,0,0,0,0,0,157,0,0,0,2026-07-09,,,,
BUNMAN1,1-7,LACT_SOW,2026-08-06,12,0,12,0,0,0,0,0,0,0,0,0,2026-07-12,,,,
BUNMAN1,1-7,SUCK,2026-08-06,149,0,149,0,0,0,0,0,149,0,0,0,2026-07-12,,,,
BUNMAN1,1-8,LACT_SOW,2026-08-06,12,0,12,0,0,0,0,0,0,0,0,0,,,,,
BUNMAN1,1-8,SUCK,2026-08-06,140,0,140,0,0,0,0,0,140,0,0,0,,,,,
BUNMAN1,1-9,LACT_SOW,2026-08-06,12,0,12,0,0,0,0,0,0,0,0,0,,,,,
BUNMAN1,1-9,SUCK,2026-08-06,139,0,139,0,0,0,0,0,139,0,0,0,,,,,
BUNMAN2,2-1,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-1,SUCK,2026-08-06,136,0,0,0,0,0,136,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-10,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-10,SUCK,2026-08-06,131,0,0,0,0,1,130,0,0,0,0,0,,,,,
BUNMAN2,2-11,FARROW_WAIT,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,2026-08-02,,,,
BUNMAN2,2-2,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-2,SUCK,2026-08-06,152,0,0,0,0,0,152,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-3,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-3,SUCK,2026-08-06,136,0,0,0,0,0,136,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-4,LACT_SOW,2026-08-06,10,0,0,0,0,0,10,0,0,0,0,0,,,,,
BUNMAN2,2-4,SUCK,2026-08-06,110,0,0,0,0,0,110,0,0,0,0,0,,,,,
BUNMAN2,2-5,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-5,SUCK,2026-08-06,127,0,0,0,0,0,127,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-6,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-26,,,,
BUNMAN2,2-6,SUCK,2026-08-06,133,0,0,0,0,1,132,0,0,0,0,0,2026-07-26,,,,
BUNMAN2,2-7,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-7,SUCK,2026-08-06,123,0,0,0,0,0,123,0,0,0,0,0,,,,,
BUNMAN2,2-8,LACT_SOW,2026-08-06,10,0,0,0,0,0,10,0,0,0,0,0,,,,,
BUNMAN2,2-8,SUCK,2026-08-06,129,0,0,0,0,0,129,0,0,0,0,0,,,,,
BUNMAN2,2-9,LACT_SOW,2026-08-06,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-9,SUCK,2026-08-06,122,0,0,0,0,1,121,0,0,0,0,0,,,,,
IMSIN1,,CAND_F,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN1,,PREG,2026-08-06,317,0,0,0,0,0,317,0,0,0,0,0,,,,,
IMSIN1,,STAY_S,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN2,,CAND_F,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN2,,PREG,2026-08-06,359,0,0,0,0,0,359,0,0,0,0,0,,,,,
IMSIN2,,STAY_S,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JADON,1-1,,2026-08-06,131,0,0,0,0,0,131,0,0,0,0,0,7-23,2026-07-02,5,암,
JADON,1-10,,2026-08-06,0,221,0,0,0,0,221,0,0,0,0,0,/,,,암,
JADON,1-11,,2026-08-06,141,0,0,0,0,0,141,0,0,0,0,0,7-12,2026-06-11,5,수,
JADON,1-12,,2026-08-06,122,0,0,0,0,0,122,0,0,0,0,0,/,,,암수,암55
JADON,1-13,,2026-08-06,144,0,0,0,0,0,144,0,0,0,0,0,/,,,임,
JADON,1-14,,2026-08-06,140,0,0,0,0,1,139,0,0,0,0,0,/,,,수,
JADON,1-2,,2026-08-06,130,0,0,0,0,0,130,0,0,0,0,0,/,,,수,
JADON,1-3,,2026-08-06,220,0,0,80,0,0,140,0,0,0,0,0,7-30,2026-07-09,4.8,수,
JADON,1-4,,2026-08-06,227,0,0,87,0,0,140,0,0,0,0,0,/,,,암수,수44
JADON,1-5,,2026-08-06,236,0,0,96,0,0,140,0,0,0,0,0,/,,,암,
JADON,1-6,,2026-08-06,0,132,0,0,0,0,132,0,0,0,0,0,/,,,암,
JADON,1-7,,2026-08-06,0,131,0,0,0,0,131,0,0,0,0,0,/,,,수,
JADON,1-8,,2026-08-06,0,221,0,0,0,0,221,0,0,0,0,0,8-6,2026-07-16,4.9,수,
JADON,1-9,,2026-08-06,0,220,0,0,0,0,220,0,0,0,0,0,/,,,암수,암85
JADON,2-1,,2026-08-06,144,0,0,0,0,0,144,0,0,0,0,0,/,,,암,
JADON,2-10,,2026-08-06,139,0,0,0,0,0,139,0,0,0,0,0,/,,,암,
JADON,2-11,,2026-08-06,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JADON,2-12,,2026-08-06,132,0,0,0,0,0,132,0,0,0,0,0,7-23,2026-07-23,5,암,
JADON,2-13,,2026-08-06,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,암68
JADON,2-14,,2026-08-06,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,
JADON,2-2,,2026-08-06,140,0,0,0,0,0,140,0,0,0,0,0,7-9,2026-06-18,5,암,
JADON,2-3,,2026-08-06,125,0,0,0,0,0,125,0,0,0,0,0,/,,,암수,암57
JADON,2-4,,2026-08-06,139,0,0,0,0,0,139,0,0,0,0,0,/,,,수,
JADON,2-5,,2026-08-06,140,0,0,0,0,1,139,0,0,0,0,0,/,,,암,
JADON,2-6,,2026-08-06,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JADON,2-7,,2026-08-06,140,0,0,0,0,0,140,0,0,0,0,0,7-16,2026-06-25,5.4,암,
JADON,2-8,,2026-08-06,132,0,0,0,0,1,131,0,0,0,0,0,/,,,암수,암68
JADON,2-9,,2026-08-06,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JONGBU,,BOAR,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,CAND_F,2026-08-06,14,0,0,0,0,0,14,0,0,0,0,0,,,,,
JONGBU,,PREG,2026-08-06,266,0,0,0,0,0,266,0,0,0,0,0,,,,,
JONGBU,,STAY_L,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,STAY_S,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,WEAN_PIG,2026-08-06,4,0,0,0,0,0,4,0,0,0,0,0,,,,,
SUNCHI,,CAND_F,2026-08-06,191,0,0,0,0,0,191,0,0,0,0,0,,,,,
SUNCHI,,CAND_M,2026-08-06,11,0,0,0,0,0,11,0,0,0,0,0,,,,,
SUNCHI,,PREG,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SUNCHI,,STAY,2026-08-06,5,0,0,0,0,0,5,0,0,0,0,0,,,,,
SUNCHI,,WEAN_SOW,2026-08-06,0,54,0,0,0,0,54,0,0,0,0,0,,,,,
BUNMAN1,1-1,FARROW_WAIT,2026-08-07,2,0,0,2,0,0,0,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-1,LACT_SOW,2026-08-07,10,2,0,0,0,0,12,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-1,SUCK,2026-08-07,135,25,0,0,0,0,160,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-10,LACT_SOW,2026-08-07,3,0,3,0,0,0,0,0,0,0,0,0,,,,,
BUNMAN1,1-10,SUCK,2026-08-07,39,0,39,0,0,0,0,0,39,0,0,0,,,,,
BUNMAN1,1-11,FARROW_WAIT,2026-08-07,11,0,0,0,0,0,11,0,0,0,0,0,2026-08-02,,,,
BUNMAN1,1-2,FARROW_WAIT,2026-08-07,3,0,0,3,0,0,0,0,0,0,0,0,,,,,
BUNMAN1,1-2,LACT_SOW,2026-08-07,9,3,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN1,1-2,SUCK,2026-08-07,91,22,0,0,0,2,111,0,0,0,0,0,,,,,
BUNMAN1,1-3,FARROW_WAIT,2026-08-07,6,0,0,6,0,0,0,0,0,0,0,0,,,,,
BUNMAN1,1-3,LACT_SOW,2026-08-07,6,6,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN1,1-3,SUCK,2026-08-07,63,63,0,0,0,1,125,0,0,0,0,0,,,,,
BUNMAN1,1-4,FARROW_WAIT,2026-08-07,8,0,0,6,0,0,2,0,0,0,0,0,,,,,
BUNMAN1,1-4,LACT_SOW,2026-08-07,4,6,0,0,0,0,10,0,0,0,0,0,,,,,
BUNMAN1,1-4,SUCK,2026-08-07,43,67,0,0,0,0,110,0,0,0,0,0,,,,,
BUNMAN1,1-5,FARROW_WAIT,2026-08-07,5,0,0,1,0,0,4,0,0,0,0,0,,,,,
BUNMAN1,1-5,LACT_SOW,2026-08-07,1,1,0,0,0,0,2,0,0,0,0,0,,,,,
BUNMAN1,1-5,SUCK,2026-08-07,12,17,0,0,0,0,29,0,0,0,0,0,,,,,
BUNMAN2,2-1,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-1,SUCK,2026-08-07,136,0,0,0,0,0,136,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-10,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-10,SUCK,2026-08-07,130,0,0,0,0,0,130,0,0,0,0,0,,,,,
BUNMAN2,2-11,FARROW_WAIT,2026-08-07,12,0,0,1,0,0,11,0,0,0,0,0,2026-08-02,,,,
BUNMAN2,2-11,LACT_SOW,2026-08-07,0,1,0,0,0,0,1,0,0,0,0,0,2026-08-02,,,,
BUNMAN2,2-2,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-2,SUCK,2026-08-07,152,0,0,0,0,2,150,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-3,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-3,SUCK,2026-08-07,136,0,0,0,0,0,136,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-4,LACT_SOW,2026-08-07,10,2,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-4,SUCK,2026-08-07,110,26,0,0,0,1,135,0,0,0,0,0,,,,,
BUNMAN2,2-5,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-5,SUCK,2026-08-07,127,0,0,0,0,1,126,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-6,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-26,,,,
BUNMAN2,2-6,SUCK,2026-08-07,132,0,0,0,0,1,131,0,0,0,0,0,2026-07-26,,,,
BUNMAN2,2-7,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-7,SUCK,2026-08-07,123,0,0,0,0,0,123,0,0,0,0,0,,,,,
BUNMAN2,2-8,LACT_SOW,2026-08-07,10,1,0,0,0,0,11,0,0,0,0,0,,,,,
BUNMAN2,2-8,SUCK,2026-08-07,129,13,0,0,0,1,141,0,0,0,0,0,,,,,
BUNMAN2,2-9,LACT_SOW,2026-08-07,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-9,SUCK,2026-08-07,121,0,0,0,0,1,120,0,0,0,0,0,,,,,
IMSIN1,,CAND_F,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN1,,PREG,2026-08-07,317,0,0,0,0,1,316,0,0,0,0,0,,,,,
IMSIN1,,STAY_S,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN2,,CAND_F,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN2,,PREG,2026-08-07,359,0,0,0,0,0,359,0,0,0,0,0,,,,,
IMSIN2,,STAY_S,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JADON,1-1,,2026-08-07,131,0,0,0,0,0,131,0,0,0,0,0,2026-07-23,2026-07-02,5,암,
JADON,1-10,,2026-08-07,221,0,0,0,0,0,221,0,0,0,0,0,/,,,암,
JADON,1-11,,2026-08-07,141,0,0,0,0,0,141,0,0,0,0,0,7-12,2026-06-11,5,수,
JADON,1-12,,2026-08-07,122,0,0,0,0,0,122,0,0,0,0,0,/,,,암수,암55
JADON,1-13,,2026-08-07,144,0,0,0,0,1,143,0,0,0,0,0,/,,,임,
JADON,1-14,,2026-08-07,139,0,0,0,0,0,139,0,0,0,0,0,/,,,수,
JADON,1-2,,2026-08-07,130,0,0,0,0,0,130,0,0,0,0,0,/,,,수,
JADON,1-3,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,7-30,2026-07-09,4.8,수,
JADON,1-4,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,/,,,암수,수44
JADON,1-5,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,/,,,암,
JADON,1-6,,2026-08-07,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,
JADON,1-7,,2026-08-07,131,0,0,0,0,0,131,0,0,0,0,0,/,,,수,
JADON,1-8,,2026-08-07,221,0,0,0,0,0,221,0,0,0,0,0,8-6,2026-07-16,4.9,수,
JADON,1-9,,2026-08-07,220,0,0,0,0,0,220,0,0,0,0,0,/,,,암수,암85
JADON,2-1,,2026-08-07,144,0,0,0,0,0,144,0,0,0,0,0,/,,,암,
JADON,2-10,,2026-08-07,139,0,0,0,0,0,139,0,0,0,0,0,/,,,암,
JADON,2-11,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JADON,2-12,,2026-08-07,132,0,0,0,0,0,132,0,0,0,0,0,7-23,2026-07-23,5,암,
JADON,2-13,,2026-08-07,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,암68
JADON,2-14,,2026-08-07,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,
JADON,2-2,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,7-9,2026-06-18,5,암,
JADON,2-3,,2026-08-07,125,0,0,0,0,0,125,0,0,0,0,0,/,,,암수,암57
JADON,2-4,,2026-08-07,139,0,0,0,0,0,139,0,0,0,0,0,/,,,수,
JADON,2-5,,2026-08-07,139,0,0,0,0,0,139,0,0,0,0,0,/,,,암,
JADON,2-6,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JADON,2-7,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,7-16,2026-06-25,5.4,암,
JADON,2-8,,2026-08-07,131,0,0,0,0,0,131,0,0,0,0,0,/,,,암수,암68
JADON,2-9,,2026-08-07,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JONGBU,,BOAR,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,CAND_F,2026-08-07,14,0,0,0,0,0,14,0,0,0,0,0,,,,,
JONGBU,,PREG,2026-08-07,266,0,0,0,0,0,266,0,0,0,0,0,,,,,
JONGBU,,STAY_L,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,STAY_S,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,WEAN_PIG,2026-08-07,4,0,0,0,0,0,4,0,0,0,0,0,,,,,
SUNCHI,,CAND_F,2026-08-07,191,0,2,0,0,0,189,0,0,0,0,0,,,,,
SUNCHI,,CAND_M,2026-08-07,11,0,0,0,0,0,11,0,0,0,0,0,,,,,
SUNCHI,,PREG,2026-08-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SUNCHI,,STAY,2026-08-07,5,0,0,0,0,0,5,0,0,0,0,0,,,,,
SUNCHI,,WEAN_SOW,2026-08-07,54,0,0,0,0,0,54,0,0,0,0,0,,,,,
BUNMAN1,1-1,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-1,SUCK,2026-08-08,160,0,10,0,0,0,150,0,0,0,0,0,2026-08-12,,,,
BUNMAN1,1-11,FARROW_WAIT,2026-08-08,11,0,0,0,0,0,11,0,0,0,0,0,2026-08-02,,,,
BUNMAN1,1-2,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN1,1-2,SUCK,2026-08-08,111,10,0,0,0,0,121,0,0,0,0,0,,,,,
BUNMAN1,1-3,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN1,1-3,SUCK,2026-08-08,125,0,0,0,0,0,125,0,0,0,0,0,,,,,
BUNMAN1,1-4,FARROW_WAIT,2026-08-08,2,0,0,2,0,0,0,0,0,0,0,0,,,,,
BUNMAN1,1-4,LACT_SOW,2026-08-08,10,2,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN1,1-4,SUCK,2026-08-08,110,21,0,0,0,4,127,0,0,0,0,0,,,,,
BUNMAN1,1-5,FARROW_WAIT,2026-08-08,4,0,0,3,0,0,1,0,0,0,0,0,,,,,
BUNMAN1,1-5,LACT_SOW,2026-08-08,2,4,0,0,0,0,6,0,0,0,0,0,,,,,
BUNMAN1,1-5,SUCK,2026-08-08,29,35,0,0,0,0,64,0,0,0,0,0,,,,,
BUNMAN1,1-7,FARROW_WAIT,2026-08-08,0,11,0,0,0,0,11,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-1,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-1,SUCK,2026-08-08,136,0,0,0,0,0,136,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-10,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-10,SUCK,2026-08-08,130,0,0,0,0,1,129,0,0,0,0,0,,,,,
BUNMAN2,2-11,FARROW_WAIT,2026-08-08,11,0,11,0,0,0,0,0,0,0,0,0,2026-08-02,,,,
BUNMAN2,2-11,LACT_SOW,2026-08-08,1,0,1,0,0,0,0,0,0,0,0,0,2026-08-02,,,,
BUNMAN2,2-2,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-2,SUCK,2026-08-08,150,0,0,0,0,0,150,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-3,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-3,SUCK,2026-08-08,136,0,0,0,0,0,136,0,0,0,0,0,2026-07-19,,,,
BUNMAN2,2-4,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-4,SUCK,2026-08-08,135,0,0,0,0,0,135,0,0,0,0,0,,,,,
BUNMAN2,2-5,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-5,SUCK,2026-08-08,126,0,0,0,0,0,126,0,0,0,0,0,2026-07-12,,,,
BUNMAN2,2-6,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,2026-07-26,,,,
BUNMAN2,2-6,SUCK,2026-08-08,131,0,0,0,0,0,131,0,0,0,0,0,2026-07-26,,,,
BUNMAN2,2-7,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-7,SUCK,2026-08-08,123,0,0,0,0,0,123,0,0,0,0,0,,,,,
BUNMAN2,2-8,LACT_SOW,2026-08-08,11,0,0,0,0,0,11,0,0,0,0,0,,,,,
BUNMAN2,2-8,SUCK,2026-08-08,141,0,0,0,0,0,141,0,0,0,0,0,,,,,
BUNMAN2,2-9,LACT_SOW,2026-08-08,12,0,0,0,0,0,12,0,0,0,0,0,,,,,
BUNMAN2,2-9,SUCK,2026-08-08,120,0,0,0,0,0,120,0,0,0,0,0,,,,,
IMSIN1,,CAND_F,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN1,,PREG,2026-08-08,316,0,0,0,0,0,316,0,0,0,0,0,,,,,
IMSIN1,,STAY_S,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN2,,CAND_F,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
IMSIN2,,PREG,2026-08-08,359,0,0,0,0,0,359,0,0,0,0,0,,,,,
IMSIN2,,STAY_S,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JADON,1-1,,2026-08-08,131,0,0,0,0,0,131,0,0,0,0,0,2026-07-23,2026-07-02,5,암,
JADON,1-10,,2026-08-08,221,0,0,0,0,0,221,0,0,0,0,0,/,,,암,
JADON,1-11,,2026-08-08,141,0,0,0,0,0,141,0,0,0,0,0,7-12,2026-06-11,5,수,
JADON,1-12,,2026-08-08,122,0,0,0,0,2,120,0,0,0,0,0,/,,,암수,암55
JADON,1-13,,2026-08-08,143,0,0,0,0,0,143,0,0,0,0,0,/,,,임,
JADON,1-14,,2026-08-08,139,0,0,0,0,0,139,0,0,0,0,0,/,,,수,
JADON,1-2,,2026-08-08,130,0,0,0,0,0,130,0,0,0,0,0,/,,,수,
JADON,1-3,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,7-30,2026-07-09,4.8,수,
JADON,1-4,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,/,,,암수,수44
JADON,1-5,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,/,,,암,
JADON,1-6,,2026-08-08,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,
JADON,1-7,,2026-08-08,131,0,0,0,0,0,131,0,0,0,0,0,/,,,수,
JADON,1-8,,2026-08-08,221,0,0,0,0,0,221,0,0,0,0,0,8-6,2026-07-16,4.9,수,
JADON,1-9,,2026-08-08,220,0,0,0,0,0,220,0,0,0,0,0,/,,,암수,암85
JADON,2-1,,2026-08-08,144,0,0,0,0,0,144,0,0,0,0,0,/,,,암,
JADON,2-10,,2026-08-08,139,0,0,0,0,0,139,0,0,0,0,0,/,,,암,
JADON,2-11,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JADON,2-12,,2026-08-08,132,0,0,0,0,0,132,0,0,0,0,0,7-23,2026-07-23,5,암,
JADON,2-13,,2026-08-08,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,암68
JADON,2-14,,2026-08-08,132,0,0,0,0,0,132,0,0,0,0,0,/,,,암,
JADON,2-2,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,7-9,2026-06-18,5,암,
JADON,2-3,,2026-08-08,125,0,0,0,0,0,125,0,0,0,0,0,/,,,암수,암57
JADON,2-4,,2026-08-08,139,0,0,0,0,0,139,0,0,0,0,0,/,,,수,
JADON,2-5,,2026-08-08,139,0,0,0,0,0,139,0,0,0,0,0,/,,,암,
JADON,2-6,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JADON,2-7,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,7-16,2026-06-25,5.4,암,
JADON,2-8,,2026-08-08,131,0,0,0,0,0,131,0,0,0,0,0,/,,,암수,암68
JADON,2-9,,2026-08-08,140,0,0,0,0,0,140,0,0,0,0,0,/,,,수,
JONGBU,,BOAR,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,CAND_F,2026-08-08,14,9,0,0,0,0,23,0,0,0,0,0,,,,,
JONGBU,,PREG,2026-08-08,266,0,0,0,0,0,266,0,0,0,0,0,,,,,
JONGBU,,STAY_L,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,STAY_S,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
JONGBU,,WEAN_PIG,2026-08-08,4,0,4,0,0,0,0,0,0,0,0,0,,,,,
SUNCHI,,CAND_F,2026-08-08,189,0,9,0,0,0,180,0,0,0,0,0,,,,,
SUNCHI,,CAND_M,2026-08-08,11,0,0,0,0,0,11,0,0,0,0,0,,,,,
SUNCHI,,PREG,2026-08-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SUNCHI,,STAY,2026-08-08,5,4,0,0,0,0,9,0,0,0,0,0,,,,,
SUNCHI,,WEAN_SOW,2026-08-08,54,0,0,0,0,0,54,0,0,0,0,0,,,,,
BUNMAN1,1-1,LACT_SOW,2026-08-09,12,0,0,0,0,0,12,0,0,0,0,0,2026-08-12,,,,
